                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3313,                   2.48,                  1.137,                 1.1915,                0.80453,                0.31977,                0.44757,                0.21008,                0.49285,                 0.2907,                 0.2965,                0.10605,                 1.8868,                 4.3766,                 1.8632,                 1.5633,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2737,                 2.4104,                 1.0902,                 1.1648,                0.75631,                0.29651,                0.41173,                 0.1971,                0.57943,                0.25581,                0.29027,                0.10202,                 1.8791,                 4.2818,                 2.0475,                 1.5862,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3296,                 2.5007,                 1.1578,                 1.1953,                0.46777,                0.33721,                0.34882,                 0.1595,                0.35134,                0.30814,                0.20091,                0.05847,                 1.9151,                 4.5412,                 2.1677,                 1.6144,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3255,                 2.4551,                 1.1559,                 1.2075,                0.78197,                0.32558,                0.42113,                0.19023,                0.50827,                0.26163,                0.24058,                0.07049,                 1.9744,                 4.4276,                 1.8652,                 1.6659,               0.001109,               0.001109,               0.001109
                     48,                 1.2741,                 2.4669,                 1.1175,                 1.1834,                0.58946,                 0.4174,                0.44066,                0.19079,                0.48382,                 0.3314,                0.27733,                0.07657,                 2.0517,                 4.5132,                 1.9665,                  1.721,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2914,                 2.3094,                   1.11,                 1.1453,                0.64103,                0.38414,                0.41846,                0.18539,                0.57766,                 0.3314,                0.28727,                0.08773,                 2.0032,                 4.8363,                 1.8395,                 1.7094,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1913,                  2.302,                  1.017,                 1.1373,                0.53781,                0.43605,                0.44941,                0.20365,                0.53155,                0.34884,                0.32758,                0.09358,                 1.8438,                  4.181,                 1.7736,                 1.5656,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2829,                 2.3635,                 1.0461,                 1.1716,                0.63304,                0.38372,                0.44003,                0.17842,                0.48242,                0.25581,                0.24123,                0.06314,                 1.9351,                 4.2767,                 1.9911,                 1.5862,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3102,                 2.4849,                 1.1091,                  1.167,                0.63822,                0.43023,                0.48451,                0.21283,                0.43186,                0.24419,                0.24677,                0.08682,                 1.8762,                 4.6371,                 1.8183,                 1.5865,                0.00101,                0.00101,                0.00101
                     53,                 1.2738,                  2.277,                 1.0861,                 1.1676,                  0.549,                0.44767,                0.43544,                 0.2061,                0.51486,                0.27326,                0.27294,                0.10281,                 1.8221,                 4.7866,                 1.7773,                 1.5848,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.265,                 2.4041,                  1.049,                   1.18,                0.60026,                 0.4186,                0.44918,                0.21669,                0.47712,                0.30233,                0.25796,                0.09187,                 1.8033,                 4.7256,                  1.755,                 1.5751,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2658,                 2.3177,                 1.0596,                  1.163,                0.53419,                0.40006,                0.39919,                0.16202,                0.37893,                0.28378,                0.22462,                0.07404,                 1.9203,                 4.7884,                 1.9729,                 1.6054,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2954,                 2.3389,                 1.0726,                 1.1906,                0.54081,                0.41086,                0.42219,                0.21195,                 0.5007,                0.32558,                0.30458,                0.10135,                 1.8084,                 4.4406,                 1.7909,                 1.5345,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2835,                 2.3859,                 1.0626,                 1.1347,                 0.6485,                0.38372,                0.46267,                0.23091,                0.59937,                0.35465,                0.35632,                0.12393,                  1.733,                 4.2947,                 1.6721,                 1.4705,               0.000911,               0.000911,               0.000911
